epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7815,1.70054,1.95465,1.84096,0.7434,0.58366,0.64174,0.30673,1.86331,1.65728,2.14925,0.000665109,0.000665109,0.000665109
2,63.378,1.49419,1.40422,1.61591,0.7388,0.62646,0.67382,0.35116,1.8192,1.58635,2.1162,0.00131859,0.00131859,0.00131859
3,93.8495,1.44395,1.31164,1.58109,0.70406,0.57977,0.62526,0.31044,1.88498,1.63581,2.14438,0.00195887,0.00195887,0.00195887
4,123.838,1.40978,1.23853,1.55956,0.80936,0.64425,0.69443,0.35599,1.80137,1.47341,2.15271,0.0019406,0.0019406,0.0019406
5,154.149,1.35441,1.16551,1.51104,0.83166,0.67704,0.74048,0.3782,1.81036,1.32306,2.06527,0.0019208,0.0019208,0.0019208
6,184.487,1.32507,1.11935,1.49647,0.79281,0.69001,0.73956,0.40495,1.73979,1.37232,2.03245,0.001901,0.001901,0.001901
7,214.886,1.29453,1.09099,1.47057,0.8074,0.69597,0.74097,0.43446,1.69525,1.32063,2.01482,0.0018812,0.0018812,0.0018812
8,245.245,1.26907,1.04116,1.45139,0.83439,0.68612,0.73902,0.42987,1.66771,1.31619,1.98312,0.0018614,0.0018614,0.0018614
9,275.634,1.26438,1.04687,1.4504,0.81087,0.6952,0.7488,0.41276,1.76575,1.3229,2.0697,0.0018416,0.0018416,0.0018416
10,306.101,1.24288,1.00348,1.4225,0.80251,0.68482,0.73075,0.40964,1.76345,1.35559,2.08832,0.0018218,0.0018218,0.0018218
11,336.226,1.2191,0.98753,1.42285,0.84263,0.70428,0.75043,0.42473,1.64967,1.29532,1.97781,0.001802,0.001802,0.001802
12,366.319,1.20578,0.96935,1.41457,0.83768,0.69001,0.75348,0.43465,1.6796,1.27942,1.97375,0.0017822,0.0017822,0.0017822
13,396.355,1.18039,0.94441,1.38698,0.81861,0.6978,0.73239,0.4051,1.70239,1.31711,2.02157,0.0017624,0.0017624,0.0017624
14,426.409,1.18713,0.9559,1.40465,0.84609,0.72114,0.75992,0.43838,1.64804,1.21798,1.96795,0.0017426,0.0017426,0.0017426
15,456.469,1.16856,0.91661,1.38303,0.83374,0.70897,0.76326,0.4477,1.60393,1.24656,1.93695,0.0017228,0.0017228,0.0017228
