epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91555,1.7173,2.78014,1.86549,0.52527,0.82796,0.68114,0.37556,1.44018,1.75411,1.70406,0.00056,0.00056,0.00056
2,5.8221,1.42727,2.12754,1.53825,0.73711,0.75372,0.79957,0.43934,1.50545,1.60825,1.50592,0.00111743,0.00111743,0.00111743
3,8.49858,1.42494,1.85951,1.50957,0.65601,0.7895,0.74625,0.45367,1.40826,1.73679,1.48082,0.00165189,0.00165189,0.00165189
4,11.1106,1.49692,1.7662,1.50737,0.6009,0.72581,0.67828,0.36739,1.5899,1.70043,1.62536,0.0018812,0.0018812,0.0018812
5,13.7329,1.33573,1.56149,1.3658,0.76128,0.67742,0.73884,0.39679,1.5904,1.49345,1.53996,0.0018416,0.0018416,0.0018416
6,16.346,1.31653,1.43625,1.3805,0.59312,0.66129,0.65033,0.30975,1.69935,1.5009,1.58488,0.001802,0.001802,0.001802
7,19.0439,1.33428,1.44729,1.38706,0.73448,0.78495,0.80465,0.41068,1.62442,1.36718,1.49398,0.0017624,0.0017624,0.0017624
8,21.6022,1.3358,1.42114,1.37663,0.69795,0.80752,0.77622,0.42464,1.31706,1.3026,1.4073,0.0017228,0.0017228,0.0017228
9,24.1491,1.20425,1.30027,1.28729,0.66042,0.74238,0.78748,0.42627,1.46915,1.20248,1.43916,0.0016832,0.0016832,0.0016832
10,26.6822,1.23724,1.27373,1.33347,0.7651,0.753,0.82429,0.50166,1.29491,1.04219,1.38458,0.0016436,0.0016436,0.0016436
11,29.2348,1.23354,1.24935,1.31768,0.73251,0.64516,0.71211,0.43176,1.22071,1.69712,1.39767,0.001604,0.001604,0.001604
12,31.7648,1.1441,1.23168,1.25892,0.60483,0.56989,0.58711,0.31042,1.47808,1.86549,1.59007,0.0015644,0.0015644,0.0015644
13,34.3363,1.11432,1.12333,1.246,0.80766,0.73656,0.83424,0.51017,1.45865,1.04471,1.45054,0.0015248,0.0015248,0.0015248
14,36.916,1.08959,1.07768,1.21331,0.70703,0.77957,0.81791,0.54913,1.20268,1.05503,1.35396,0.0014852,0.0014852,0.0014852
15,39.528,1.08808,1.09393,1.20528,0.63163,0.8481,0.8108,0.48594,1.29899,1.06094,1.44413,0.0014456,0.0014456,0.0014456
16,42.0832,1.10862,1.07333,1.2225,0.75258,0.89785,0.87247,0.52799,1.46098,0.99961,1.38809,0.001406,0.001406,0.001406
17,44.6469,1.05281,1.0376,1.19767,0.79604,0.88132,0.86288,0.56845,1.31546,0.91605,1.35236,0.0013664,0.0013664,0.0013664
18,47.2096,1.03585,0.96461,1.16087,0.78874,0.89247,0.86577,0.57707,1.17601,0.86776,1.29246,0.0013268,0.0013268,0.0013268
19,49.8038,1.06177,1.03648,1.2091,0.74477,0.91935,0.87374,0.59489,1.22206,0.94095,1.28746,0.0012872,0.0012872,0.0012872
