epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29645,1.14515,2.8995,1.63558,0.00636,1,0.645,0.48459,1.22295,2.818,2.05006,0.000543319,0.000543319,0.000543319
2,8.79838,1.28825,2.39855,1.75572,0.00534,0.75,0.01986,0.00322,3.92646,4.06351,5.46134,0.00107723,0.00107723,0.00107723
3,12.9522,1.35918,2.18046,1.79654,0.75389,0.25,0.48806,0.19892,2.58711,2.28659,3.56178,0.00158913,0.00158913,0.00158913
4,17.1412,1.42697,2.16066,1.83543,0.31254,0.25,0.30056,0.075,3.28707,8.50351,4.50844,0.00156798,0.00156798,0.00156798
5,21.2782,1.44822,2.0225,1.87231,0.59218,0.5,0.41264,0.05774,3.52355,3.20181,4.82353,0.00153497,0.00153497,0.00153497
6,25.4204,1.40415,1.9155,1.80872,0.72846,0.75,0.71091,0.36628,1.32821,2.1816,2.36565,0.00150197,0.00150197,0.00150197
7,29.5563,1.31088,1.88778,1.74227,0.97631,1,0.995,0.51481,1.65352,1.9941,3.20631,0.00146896,0.00146896,0.00146896
8,33.8151,1.40677,1.94117,1.79505,0.48117,0.5,0.54067,0.1876,2.09616,4.30546,3.25049,0.00143595,0.00143595,0.00143595
9,37.9894,1.32761,1.81006,1.77582,1,0.97462,0.995,0.43251,1.76388,2.1274,2.46744,0.00140295,0.00140295,0.00140295
10,42.1475,1.26401,1.72867,1.69699,1,0.99992,0.995,0.58036,1.45247,1.57199,2.18341,0.00136994,0.00136994,0.00136994
11,46.3141,1.29929,1.7614,1.74334,0.46455,1,0.66167,0.30773,1.63773,2.10949,2.20149,0.00133693,0.00133693,0.00133693
12,50.5162,1.24499,1.6436,1.70095,0.99219,1,0.995,0.38148,2.13799,1.4962,2.7281,0.00130393,0.00130393,0.00130393
13,54.701,1.25529,1.6306,1.69491,1,0.74261,0.945,0.66635,1.32254,1.48065,2.49255,0.00127092,0.00127092,0.00127092
