epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,681.089,0.58805,0.53697,1.11114,0.98909,1,0.995,0.69655,1.07346,0.52796,1.82974,0.000528272,0.000528272,0.000528272
71,690.73,0.61138,0.55339,1.12231,0.98868,1,0.995,0.72744,1.00106,0.57262,1.72345,0.000511769,0.000511769,0.000511769
72,700.397,0.5645,0.52723,1.10837,0.98875,1,0.995,0.7565,1.02033,0.52431,1.75603,0.000495266,0.000495266,0.000495266
73,710.15,0.56604,0.54286,1.09541,0.98878,1,0.995,0.82593,0.83477,0.50346,1.54316,0.000478762,0.000478762,0.000478762
74,719.786,0.53978,0.5068,1.07899,0.98889,1,0.995,0.83537,0.85847,0.57133,1.56988,0.000462259,0.000462259,0.000462259
75,729.466,0.5547,0.50239,1.09154,1,1,0.995,0.8335,0.89979,0.5452,1.64238,0.000445756,0.000445756,0.000445756
76,739.079,0.53861,0.50132,1.07763,0.98593,1,0.995,0.87183,0.75861,0.54116,1.39022,0.000429253,0.000429253,0.000429253
77,748.77,0.53989,0.49323,1.08305,0.98925,1,0.995,0.81692,0.79315,0.45554,1.51124,0.000412749,0.000412749,0.000412749
78,758.466,0.53327,0.48285,1.07082,0.98851,1,0.995,0.774,0.93546,0.69602,1.60093,0.000396246,0.000396246,0.000396246
79,768.279,0.51717,0.48311,1.07377,0.93132,1,0.995,0.8395,0.84112,0.4899,1.49187,0.000379743,0.000379743,0.000379743
80,778.174,0.52145,0.47763,1.08952,0.95096,1,0.995,0.84057,0.76473,0.54185,1.41008,0.000363239,0.000363239,0.000363239
81,787.885,0.54867,0.49577,1.08688,0.98893,1,0.995,0.82642,0.83192,0.53802,1.4449,0.000346736,0.000346736,0.000346736
82,797.566,0.52468,0.48979,1.0771,1,1,0.995,0.81775,0.84584,0.42295,1.51517,0.000330233,0.000330233,0.000330233
83,807.188,0.50738,0.47344,1.06386,0.989,1,0.995,0.81368,0.93403,0.50131,1.68488,0.000313729,0.000313729,0.000313729
84,816.861,0.52009,0.47032,1.07679,0.92859,1,0.995,0.83867,0.8679,0.62988,1.53525,0.000297226,0.000297226,0.000297226
85,826.505,0.50522,0.46452,1.06518,0.9076,1,0.995,0.80762,0.89508,0.60902,1.62327,0.000280723,0.000280723,0.000280723
86,836.335,0.48936,0.44769,1.04368,0.93985,1,0.995,0.79,0.92009,0.68412,1.62071,0.00026422,0.00026422,0.00026422
87,846.079,0.48774,0.44451,1.05557,0.989,1,0.995,0.85922,0.82187,0.55507,1.52259,0.000247716,0.000247716,0.000247716
88,855.791,0.49267,0.4441,1.05811,0.98915,1,0.995,0.81854,0.87445,0.4939,1.63953,0.000231213,0.000231213,0.000231213
89,865.433,0.49443,0.46347,1.06624,0.98888,1,0.995,0.79473,0.94667,0.56839,1.69832,0.00021471,0.00021471,0.00021471
90,875.111,0.47615,0.45922,1.05554,0.98896,1,0.995,0.8283,0.89387,0.52931,1.60717,0.000198206,0.000198206,0.000198206
91,885.1,0.35481,0.33666,1.00067,0.98915,1,0.995,0.83867,0.73934,0.46942,1.40461,0.000181703,0.000181703,0.000181703
92,894.754,0.3361,0.30449,0.98578,0.9891,1,0.995,0.81669,0.76357,0.38209,1.51227,0.0001652,0.0001652,0.0001652
93,904.48,0.32386,0.2893,0.96859,0.98896,1,0.995,0.84171,0.72264,0.39126,1.43615,0.000148696,0.000148696,0.000148696
94,914.281,0.31111,0.28264,0.98373,0.989,1,0.995,0.81911,0.77093,0.39398,1.58387,0.000132193,0.000132193,0.000132193
95,923.939,0.31785,0.28173,0.96709,0.98917,1,0.995,0.8545,0.68098,0.43035,1.34239,0.00011569,0.00011569,0.00011569
96,933.763,0.30931,0.2669,0.96191,0.98909,1,0.995,0.84988,0.65671,0.4291,1.35451,9.91865e-05,9.91865e-05,9.91865e-05
97,943.418,0.30136,0.26017,0.94605,0.98911,1,0.995,0.852,0.6667,0.43454,1.38528,8.26832e-05,8.26832e-05,8.26832e-05
98,953.166,0.29295,0.26232,0.95175,0.98925,1,0.995,0.85237,0.68987,0.38243,1.41173,6.61799e-05,6.61799e-05,6.61799e-05
99,962.949,0.28685,0.25494,0.94735,0.98924,1,0.995,0.85608,0.72045,0.3746,1.44272,4.96766e-05,4.96766e-05,4.96766e-05
100,972.661,0.28286,0.25237,0.95255,0.989,1,0.995,0.83317,0.73334,0.39831,1.4332,3.31733e-05,3.31733e-05,3.31733e-05
