epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6785,0.99421,2.41959,1.43322,0.81539,0.75,0.945,0.41992,1.82433,2.35573,4.08347,0.000550661,0.000550661,0.000550661
2,22.0062,1.25768,1.94492,1.61007,0.66324,0.75,0.91167,0.38341,2.34022,3.60011,4.47791,0.00109537,0.00109537,0.00109537
3,31.8753,1.38797,1.92427,1.70311,0.44178,0.25,0.1646,0.03537,3.56358,6.96291,4.41002,0.00162909,0.00162909,0.00162909
4,41.6583,1.39319,1.82691,1.69783,0.99501,1,0.995,0.50938,2.06018,2.74736,3.1774,0.00161749,0.00161749,0.00161749
5,51.3796,1.36472,1.71796,1.69138,1,0.74283,0.995,0.45722,1.53024,2.23981,2.41669,0.00160099,0.00160099,0.00160099
6,61.1224,1.28661,1.60583,1.63553,0.65586,0.95948,0.84917,0.61415,0.95227,1.60312,1.74915,0.00158448,0.00158448,0.00158448
7,70.917,1.3113,1.59246,1.63196,0.59394,0.5,0.50747,0.22727,2.27466,2.50794,3.18306,0.00156798,0.00156798,0.00156798
8,80.8325,1.21541,1.46284,1.57661,0.74729,0.74186,0.82536,0.45957,1.77973,1.71712,2.87123,0.00155148,0.00155148,0.00155148
9,90.5524,1.21451,1.40284,1.55974,0.928,0.5,0.63471,0.39151,2.32134,1.68966,3.17949,0.00153497,0.00153497,0.00153497
10,100.291,1.16509,1.32061,1.5042,0.61589,0.5,0.61722,0.31242,1.86702,3.04159,2.54495,0.00151847,0.00151847,0.00151847
11,110.012,1.13559,1.32709,1.50775,1,0.72861,0.945,0.65515,1.20732,1.61437,2.02184,0.00150197,0.00150197,0.00150197
12,119.796,1.15336,1.30164,1.50012,0.94451,1,0.995,0.66564,1.28432,1.31555,2.06083,0.00148546,0.00148546,0.00148546
13,129.586,1.0807,1.25715,1.46065,1,0.71922,0.91167,0.67483,1.07698,1.67347,1.98176,0.00146896,0.00146896,0.00146896
14,139.42,1.08756,1.26039,1.4808,0.96751,1,0.995,0.6287,1.16194,1.09769,2.08433,0.00145246,0.00145246,0.00145246
15,149.234,1.05807,1.21808,1.43925,0.97253,1,0.995,0.68539,1.37749,1.16259,2.4286,0.00143595,0.00143595,0.00143595
16,159.022,1.04495,1.18202,1.44282,0.52709,0.5,0.535,0.23492,1.63831,2.42952,2.56285,0.00141945,0.00141945,0.00141945
17,168.739,1.02263,1.16981,1.41538,0.62975,1,0.895,0.62703,1.15283,1.8627,1.99834,0.00140295,0.00140295,0.00140295
18,178.525,1.00238,1.12365,1.39259,0.81063,0.75,0.945,0.53343,1.75167,1.20558,2.57211,0.00138644,0.00138644,0.00138644
19,188.245,0.99429,1.07595,1.39302,0.98942,1,0.995,0.66648,1.01937,0.79301,2.00869,0.00136994,0.00136994,0.00136994
20,198.004,0.99392,1.08789,1.39837,0.98195,1,0.995,0.66423,1.10178,0.76667,1.90909,0.00135344,0.00135344,0.00135344
21,207.802,0.95694,1.03149,1.37449,0.98437,1,0.995,0.70128,1.09525,0.78341,1.83134,0.00133693,0.00133693,0.00133693
22,217.492,0.95282,0.99583,1.37185,0.98663,1,0.995,0.79734,1.01571,0.88548,1.80364,0.00132043,0.00132043,0.00132043
23,227.189,0.93747,1.03898,1.35392,0.97203,1,0.995,0.50614,1.59901,1.11943,2.34737,0.00130393,0.00130393,0.00130393
24,237.027,0.95472,1.0025,1.36754,0.97941,1,0.995,0.60824,1.35772,0.78825,2.50286,0.00128742,0.00128742,0.00128742
25,246.716,0.91829,0.96334,1.34293,0.9818,1,0.995,0.49999,1.51565,0.88198,2.12912,0.00127092,0.00127092,0.00127092
26,256.513,0.90113,0.9654,1.34314,0.98229,1,0.995,0.47158,1.64801,1.11338,2.33535,0.00125442,0.00125442,0.00125442
27,266.132,0.90311,0.9758,1.32037,0.79945,0.99727,0.895,0.61785,1.33235,1.19641,2.20674,0.00123791,0.00123791,0.00123791
28,275.75,0.87109,0.91274,1.2962,0.98759,1,0.995,0.7925,0.91927,0.64555,1.76762,0.00122141,0.00122141,0.00122141
29,285.524,0.88322,0.9038,1.32203,0.98587,1,0.995,0.80517,0.81185,0.6299,1.55782,0.00120491,0.00120491,0.00120491
30,295.187,0.83121,0.89323,1.28389,0.98411,1,0.995,0.74755,0.90437,0.59201,1.66283,0.0011884,0.0011884,0.0011884
31,304.926,0.82766,0.87148,1.27146,0.98826,1,0.995,0.59371,1.17204,0.88346,2.02032,0.0011719,0.0011719,0.0011719
32,314.699,0.84022,0.8679,1.28665,0.98775,1,0.995,0.796,1.01604,0.66871,1.80074,0.0011554,0.0011554,0.0011554
33,324.518,0.81729,0.82122,1.25865,0.98782,1,0.995,0.84753,0.83798,0.5636,1.70963,0.00113889,0.00113889,0.00113889
34,334.243,0.83482,0.85563,1.28686,0.98859,1,0.995,0.76504,0.81938,0.61645,1.59803,0.00112239,0.00112239,0.00112239
35,343.923,0.81536,0.81186,1.26254,0.98771,1,0.995,0.72547,1.09599,0.59101,1.8728,0.00110589,0.00110589,0.00110589
36,353.626,0.79891,0.81903,1.2623,0.98728,1,0.995,0.5794,1.2937,0.64546,2.23929,0.00108938,0.00108938,0.00108938
37,363.264,0.83077,0.8193,1.27919,0.78168,1,0.945,0.69417,1.00024,1.02249,1.69869,0.00107288,0.00107288,0.00107288
38,372.856,0.80385,0.78855,1.25927,0.92614,0.75,0.8075,0.60039,1.51926,0.69872,2.17847,0.00105638,0.00105638,0.00105638
39,382.427,0.76764,0.78185,1.24516,0.98799,1,0.995,0.70756,0.96328,0.64091,1.70685,0.00103987,0.00103987,0.00103987
40,392.03,0.78293,0.79763,1.23945,0.98007,1,0.995,0.78302,0.85707,0.61079,1.64593,0.00102337,0.00102337,0.00102337
41,401.651,0.76063,0.7543,1.23686,0.98913,1,0.995,0.73145,1.21591,0.72505,2.17225,0.00100687,0.00100687,0.00100687
42,411.3,0.75325,0.74816,1.21379,0.99042,1,0.995,0.80529,0.95287,0.7178,1.65037,0.000990365,0.000990365,0.000990365
43,420.954,0.7725,0.76715,1.23705,0.98827,1,0.995,0.7768,0.81438,0.43574,1.56499,0.000973861,0.000973861,0.000973861
44,430.53,0.73359,0.74043,1.20399,0.79719,0.98597,0.945,0.66104,1.10051,1.01438,1.70251,0.000957358,0.000957358,0.000957358
45,440.158,0.72348,0.70414,1.19965,0.98832,1,0.995,0.69179,1.06175,0.77793,1.78338,0.000940855,0.000940855,0.000940855
46,449.809,0.71843,0.70564,1.20497,0.96946,1,0.995,0.78282,0.99366,0.54573,1.74968,0.000924352,0.000924352,0.000924352
47,459.424,0.7151,0.68601,1.19192,0.99055,1,0.995,0.81951,0.83202,0.49703,1.53136,0.000907848,0.000907848,0.000907848
48,469.055,0.72681,0.70373,1.19311,0.98937,1,0.995,0.706,1.16299,0.56735,1.89802,0.000891345,0.000891345,0.000891345
49,478.68,0.72087,0.69991,1.18689,0.9886,1,0.995,0.80508,0.9179,0.56499,1.64195,0.000874842,0.000874842,0.000874842
50,488.465,0.70365,0.69621,1.20831,0.98846,1,0.995,0.80733,0.83016,0.57698,1.57492,0.000858338,0.000858338,0.000858338
51,498.244,0.68861,0.66294,1.16455,0.99366,1,0.995,0.81954,0.83205,0.65307,1.62337,0.000841835,0.000841835,0.000841835
52,507.927,0.67507,0.65573,1.1742,0.78965,1,0.945,0.54436,1.37411,1.0258,2.24985,0.000825332,0.000825332,0.000825332
53,517.452,0.68006,0.6501,1.17527,0.98691,1,0.995,0.72794,1.25694,0.70162,1.98592,0.000808828,0.000808828,0.000808828
54,527.128,0.65225,0.6349,1.1534,0.97061,1,0.995,0.63548,1.42696,0.91025,2.21012,0.000792325,0.000792325,0.000792325
55,536.654,0.68874,0.65673,1.17196,0.98917,1,0.995,0.73075,1.01885,0.70845,1.78031,0.000775822,0.000775822,0.000775822
56,546.145,0.66816,0.65059,1.16847,0.98864,1,0.995,0.77295,0.97244,0.42387,1.80539,0.000759318,0.000759318,0.000759318
57,555.636,0.65501,0.612,1.14354,0.98852,1,0.995,0.77533,1.16008,0.48886,1.86506,0.000742815,0.000742815,0.000742815
58,565.172,0.6626,0.62551,1.17281,0.98888,1,0.995,0.72444,0.98405,0.4964,1.65839,0.000726312,0.000726312,0.000726312
59,574.74,0.62562,0.60424,1.14077,0.98942,1,0.995,0.725,1.02532,0.57805,1.72778,0.000709809,0.000709809,0.000709809
60,584.329,0.62546,0.60436,1.14712,0.98881,1,0.995,0.7255,1.08543,0.54778,1.92831,0.000693305,0.000693305,0.000693305
61,593.914,0.63555,0.59995,1.15095,0.98825,1,0.995,0.60665,1.35735,0.72915,1.99457,0.000676802,0.000676802,0.000676802
62,603.623,0.63335,0.59136,1.13404,0.9837,1,0.995,0.67029,1.3374,0.64343,2.19547,0.000660299,0.000660299,0.000660299
63,613.293,0.60818,0.58564,1.12366,0.98827,1,0.995,0.80755,0.92988,0.56868,1.55972,0.000643795,0.000643795,0.000643795
64,623.013,0.60963,0.56737,1.12955,0.98848,1,0.995,0.82175,0.83908,0.44896,1.57409,0.000627292,0.000627292,0.000627292
65,632.69,0.59247,0.56169,1.11184,0.99119,1,0.995,0.76706,0.99297,0.61544,1.80123,0.000610789,0.000610789,0.000610789
66,642.398,0.58496,0.5598,1.11516,0.98479,1,0.995,0.76436,0.97993,0.53035,1.73864,0.000594286,0.000594286,0.000594286
67,652.041,0.57911,0.55784,1.11445,0.98843,1,0.995,0.79567,1.09523,0.56519,1.85947,0.000577782,0.000577782,0.000577782
68,661.785,0.60987,0.56443,1.13295,0.98887,1,0.995,0.7305,1.00942,0.50746,1.83962,0.000561279,0.000561279,0.000561279
69,671.469,0.57997,0.52435,1.10823,0.98893,1,0.995,0.69939,1.19568,0.69929,1.89277,0.000544776,0.000544776,0.000544776
