epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95005,1.17809,2.55659,1.71837,0.00333,1,0.995,0.63738,0.8288,2.93829,1.61669,0.00044,0.00044,0.00044
2,4.88925,1.06246,1.99836,1.5935,0.5482,0.5,0.73111,0.30722,1.3106,3.1239,2.05983,0.00088218,0.00088218,0.00088218
3,6.72713,1.10201,1.77676,1.61361,0.64217,0.90812,0.84917,0.26698,1.91615,2.68544,2.55896,0.00130614,0.00130614,0.00130614
4,8.56263,1.10854,1.60082,1.62733,0.89773,0.75,0.78346,0.41093,1.57221,2.61207,2.60434,0.00171189,0.00171189,0.00171189
5,10.3877,1.13628,1.57605,1.58204,0.43861,0.25,0.13432,0.10115,2.61856,3.69817,3.31447,0.0018416,0.0018416,0.0018416
6,12.189,1.1915,1.57198,1.65515,0.38497,0.94365,0.4475,0.13292,2.50752,3.36778,3.78543,0.001802,0.001802,0.001802
7,14.0175,1.12394,1.52786,1.61257,0.73128,0.69385,0.72096,0.24753,1.81884,2.49775,3.15289,0.0017624,0.0017624,0.0017624
8,15.8378,1.09325,1.39801,1.60368,0.79106,0.95528,0.796,0.44282,1.38338,1.86929,2.28651,0.0017228,0.0017228,0.0017228
9,17.6546,1.03318,1.27792,1.56489,0.74741,0.5,0.71722,0.25459,1.60416,3.18074,2.71225,0.0016832,0.0016832,0.0016832
10,19.4733,1.03244,1.36397,1.55578,1,0.68677,0.82192,0.38347,1.90085,2.02198,3.10073,0.0016436,0.0016436,0.0016436
11,21.2977,1.0445,1.2948,1.5118,0.35036,0.75,0.48042,0.31696,1.5001,2.11423,2.61375,0.001604,0.001604,0.001604
12,23.1182,0.96254,1.18583,1.49546,0.79061,0.95305,0.895,0.5682,1.1713,1.87914,2.09239,0.0015644,0.0015644,0.0015644
13,24.9314,0.95155,1.20568,1.47194,0.95716,1,0.995,0.64607,1.28556,1.04884,2.35756,0.0015248,0.0015248,0.0015248
14,26.7353,0.91667,1.05526,1.42969,0.73685,0.75,0.60875,0.45585,1.58622,1.29303,2.3584,0.0014852,0.0014852,0.0014852
15,28.5449,0.96938,1.11342,1.47736,0.73393,0.75,0.7825,0.44409,1.35224,1.77425,2.16458,0.0014456,0.0014456,0.0014456
16,30.3588,0.94773,1.05033,1.44683,0.72693,0.75,0.66986,0.33266,1.80361,1.66134,2.37632,0.001406,0.001406,0.001406
17,32.1557,0.89296,1.02099,1.43074,0.62105,1,0.66333,0.21808,2.09985,2.22634,2.88041,0.0013664,0.0013664,0.0013664
