epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,33.9568,0.90644,1.0222,1.39459,0.79953,1,0.945,0.42951,1.89893,1.61162,2.67156,0.0013268,0.0013268,0.0013268
19,35.7784,0.90585,1.00234,1.41676,0.9749,1,0.995,0.74608,0.96015,1.27488,1.7379,0.0012872,0.0012872,0.0012872
20,37.6034,0.86338,0.94014,1.38693,0.98375,1,0.995,0.73345,1.15447,1.08139,1.81965,0.0012476,0.0012476,0.0012476
21,39.4259,0.8158,0.93338,1.38215,0.98671,1,0.995,0.8223,0.77368,0.82782,1.43491,0.001208,0.001208,0.001208
22,41.2454,0.82316,0.89904,1.35636,0.98762,1,0.995,0.6669,1.1377,0.8229,1.93202,0.0011684,0.0011684,0.0011684
23,43.0745,0.82037,0.85297,1.32697,0.98307,1,0.995,0.58415,0.99515,1.33242,1.69617,0.0011288,0.0011288,0.0011288
24,44.9017,0.75279,0.83121,1.32099,0.72866,0.75,0.65875,0.53197,0.8739,1.37127,1.59559,0.0010892,0.0010892,0.0010892
25,46.7151,0.77634,0.80902,1.3197,1,0.96131,0.995,0.8202,0.69387,0.82007,1.49783,0.0010496,0.0010496,0.0010496
26,48.5329,0.82139,0.84802,1.38329,0.98998,1,0.995,0.70857,1.05925,1.09537,1.77073,0.00101,0.00101,0.00101
27,50.363,0.79185,0.80597,1.35437,0.98923,1,0.995,0.78741,0.65093,0.91414,1.37187,0.0009704,0.0009704,0.0009704
28,52.1887,0.75122,0.7849,1.30336,0.79588,1,0.945,0.76564,0.90403,0.88934,1.57492,0.0009308,0.0009308,0.0009308
29,54.0087,0.74409,0.78845,1.30029,0.96621,0.75,0.88786,0.66722,1.05814,0.96925,1.71831,0.0008912,0.0008912,0.0008912
30,55.8148,0.70755,0.77298,1.29483,0.99182,1,0.995,0.75433,1.07288,0.65351,1.70115,0.0008516,0.0008516,0.0008516
31,57.6461,0.66495,0.7003,1.22499,0.98932,1,0.995,0.80423,0.90729,0.60212,1.64335,0.000812,0.000812,0.000812
32,59.4636,0.67095,0.68535,1.21694,0.9884,1,0.995,0.7584,0.90693,0.63923,1.7735,0.0007724,0.0007724,0.0007724
33,61.2991,0.67013,0.6803,1.23094,0.98867,1,0.995,0.68619,1.09347,0.71461,2.12467,0.0007328,0.0007328,0.0007328
34,63.1022,0.67781,0.6911,1.22699,0.98645,1,0.995,0.77066,0.86228,0.5692,1.60608,0.0006932,0.0006932,0.0006932
35,64.9062,0.60151,0.65063,1.22427,0.98727,1,0.995,0.76481,1.01238,0.71248,1.76261,0.0006536,0.0006536,0.0006536
36,66.6914,0.64134,0.62953,1.23878,0.98861,1,0.995,0.75244,0.87395,0.71993,1.57232,0.000614,0.000614,0.000614
37,68.5034,0.57993,0.59218,1.16096,0.98795,1,0.995,0.82669,0.76809,0.59627,1.37619,0.0005744,0.0005744,0.0005744
38,70.2943,0.58455,0.62246,1.18296,0.98514,1,0.995,0.83314,0.73077,0.57426,1.4073,0.0005348,0.0005348,0.0005348
39,72.1179,0.57455,0.61468,1.17743,0.98847,1,0.995,0.85789,0.63844,0.55367,1.40326,0.0004952,0.0004952,0.0004952
40,73.9196,0.58179,0.609,1.16648,0.98968,1,0.995,0.84548,0.74837,0.55432,1.53029,0.0004556,0.0004556,0.0004556
41,75.9802,0.47788,0.71842,1.17825,0.98975,1,0.995,0.73364,0.91117,0.74934,1.82915,0.000416,0.000416,0.000416
42,77.8264,0.48894,0.62359,1.20161,0.98959,1,0.995,0.78562,1.02713,0.61145,2.03863,0.0003764,0.0003764,0.0003764
43,79.6308,0.44297,0.58406,1.15069,0.98951,1,0.995,0.80794,0.87609,0.59193,1.73651,0.0003368,0.0003368,0.0003368
44,81.4592,0.44508,0.52556,1.15493,0.98913,1,0.995,0.81438,0.79881,0.51523,1.66509,0.0002972,0.0002972,0.0002972
45,83.2797,0.39205,0.4854,1.10668,0.98929,1,0.995,0.81234,0.88569,0.57345,1.80292,0.0002576,0.0002576,0.0002576
46,85.0864,0.35933,0.45755,1.05087,0.98941,1,0.995,0.80413,0.88186,0.52614,1.737,0.000218,0.000218,0.000218
47,86.8863,0.37092,0.4713,1.09946,0.98947,1,0.995,0.81235,0.79326,0.50676,1.60518,0.0001784,0.0001784,0.0001784
48,88.6899,0.35127,0.44746,1.0757,0.9893,1,0.995,0.81438,0.71515,0.49903,1.45192,0.0001388,0.0001388,0.0001388
49,90.4943,0.33508,0.4435,1.06566,0.98929,1,0.995,0.86395,0.65219,0.47855,1.38619,9.92e-05,9.92e-05,9.92e-05
50,92.2839,0.32323,0.425,1.04475,0.98948,1,0.995,0.89514,0.63977,0.47904,1.3546,5.96e-05,5.96e-05,5.96e-05
