epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.38782,1.52532,1.89181,1.6797,0.77686,0.83563,0.87872,0.57187,1.18342,0.91898,1.42092,0.000547118,0.000547118,0.000547118
2,10.303,1.3783,1.45281,1.50608,0.63155,0.85706,0.80159,0.4171,1.26306,1.19425,1.44204,0.00108095,0.00108095,0.00108095
3,15.0731,1.3253,1.35391,1.45106,0.78654,0.84,0.85113,0.5545,1.11705,1.02985,1.36106,0.00159278,0.00159278,0.00159278
4,19.8056,1.32724,1.39105,1.45811,0.66419,0.88,0.75221,0.42413,1.17514,1.25462,1.43929,0.00156798,0.00156798,0.00156798
5,24.5555,1.27164,1.34667,1.42544,0.77394,0.8,0.81987,0.50341,1.24567,1.12807,1.56201,0.00153497,0.00153497,0.00153497
6,29.3196,1.24035,1.30641,1.41895,0.7686,0.96,0.84864,0.53127,1.20224,0.96628,1.5253,0.00150197,0.00150197,0.00150197
7,34.0845,1.20579,1.24484,1.36748,0.79629,0.93815,0.8976,0.64773,0.97256,0.83582,1.26127,0.00146896,0.00146896,0.00146896
8,38.8733,1.20726,1.22475,1.3824,0.61342,0.92,0.78193,0.54108,1.07098,1.1736,1.40639,0.00143595,0.00143595,0.00143595
9,43.6801,1.14244,1.19602,1.34589,0.79995,0.87973,0.8841,0.62427,1.06419,0.77243,1.45709,0.00140295,0.00140295,0.00140295
10,48.4479,1.19361,1.21296,1.36674,0.79151,0.9,0.88819,0.65447,0.99975,0.79095,1.31076,0.00136994,0.00136994,0.00136994
11,53.2316,1.13041,1.14439,1.34748,0.74761,0.88871,0.87107,0.60438,1.04328,0.87927,1.34128,0.00133693,0.00133693,0.00133693
12,58.0189,1.10942,1.10611,1.31477,0.84863,0.78495,0.88848,0.68592,0.88655,0.77282,1.2389,0.00130393,0.00130393,0.00130393
13,62.7817,1.11146,1.14693,1.32129,0.76044,0.9,0.85144,0.63847,0.89538,0.86579,1.29948,0.00127092,0.00127092,0.00127092
14,67.5452,1.0931,1.07237,1.3239,0.76828,0.79579,0.80983,0.62347,0.87834,0.96415,1.2772,0.00123791,0.00123791,0.00123791
15,72.2876,1.03041,1.0032,1.27759,0.79441,0.88,0.87099,0.67,0.95741,0.83731,1.37533,0.00120491,0.00120491,0.00120491
16,77.0529,1.01837,1.00039,1.25518,0.84957,0.94,0.90447,0.68682,0.84638,0.72591,1.15724,0.0011719,0.0011719,0.0011719
17,81.8149,1.01468,1.01844,1.26554,0.72791,0.96313,0.90161,0.67779,0.88172,0.73186,1.22112,0.00113889,0.00113889,0.00113889
18,86.5802,1.01847,1.00066,1.27926,0.77649,0.92,0.89486,0.63959,1.11565,0.86089,1.43375,0.00110589,0.00110589,0.00110589
19,91.3313,1.0282,0.9929,1.27978,0.79207,0.9143,0.8571,0.6581,0.89827,0.81495,1.20326,0.00107288,0.00107288,0.00107288
20,96.1217,1.00006,1.01053,1.25753,0.85159,0.91811,0.90832,0.67524,0.92853,0.66878,1.21209,0.00103987,0.00103987,0.00103987
21,100.907,0.961,0.957,1.24316,0.8665,0.96,0.92355,0.69468,0.83768,0.70497,1.2073,0.00100687,0.00100687,0.00100687
22,105.733,0.99351,0.95498,1.2564,0.9017,0.86,0.90034,0.70341,0.80221,0.70662,1.17053,0.000973861,0.000973861,0.000973861
23,110.545,0.95512,0.95713,1.22742,0.7184,0.96,0.88926,0.70356,0.8056,0.74873,1.17805,0.000940855,0.000940855,0.000940855
24,115.352,0.94934,0.91486,1.24301,0.84496,0.94,0.93679,0.74323,0.79949,0.65613,1.14901,0.000907848,0.000907848,0.000907848
25,120.196,0.95978,0.90246,1.23943,0.85164,0.91849,0.91085,0.73302,0.72982,0.66644,1.0724,0.000874842,0.000874842,0.000874842
26,124.973,0.91184,0.90383,1.20514,0.85174,0.94,0.92151,0.74929,0.69647,0.67067,1.1308,0.000841835,0.000841835,0.000841835
27,129.803,0.922,0.90063,1.20038,0.83323,0.94,0.92821,0.74352,0.6923,0.62034,1.02063,0.000808828,0.000808828,0.000808828
28,134.695,0.91763,0.87757,1.21583,0.75081,0.9,0.90633,0.71998,0.75599,0.74176,1.12083,0.000775822,0.000775822,0.000775822
29,139.558,0.87944,0.83616,1.18631,0.87382,0.8311,0.91717,0.76437,0.62996,0.67188,1.02226,0.000742815,0.000742815,0.000742815
30,144.401,0.87367,0.81454,1.18431,0.87778,0.86187,0.91951,0.76542,0.66025,0.67939,1.03391,0.000709809,0.000709809,0.000709809
31,149.245,0.85357,0.79104,1.15862,0.8236,0.93387,0.94346,0.80526,0.66963,0.57816,1.02057,0.000676802,0.000676802,0.000676802
32,154.058,0.83741,0.80067,1.15273,0.91204,0.82,0.92459,0.7695,0.68653,0.59486,1.05222,0.000643795,0.000643795,0.000643795
33,158.921,0.85612,0.84039,1.16758,0.88344,0.92,0.92969,0.78388,0.68399,0.61,1.02845,0.000610789,0.000610789,0.000610789
34,163.701,0.81446,0.75302,1.15865,0.80378,0.98316,0.91684,0.76888,0.70196,0.60897,1.02205,0.000577782,0.000577782,0.000577782
35,168.475,0.83064,0.7866,1.17392,0.84431,0.9762,0.9392,0.78305,0.72859,0.5434,1.06694,0.000544776,0.000544776,0.000544776
36,173.285,0.82025,0.78307,1.15194,0.84359,0.97093,0.94304,0.77471,0.67579,0.51653,1.02219,0.000511769,0.000511769,0.000511769
37,178.07,0.82495,0.77416,1.16335,0.94545,0.88,0.95115,0.77746,0.7107,0.52468,1.05166,0.000478762,0.000478762,0.000478762
38,182.83,0.80629,0.76438,1.1576,0.94706,0.88,0.94524,0.7773,0.66592,0.54184,1.03219,0.000445756,0.000445756,0.000445756
39,187.614,0.78543,0.74743,1.13108,0.88752,0.94,0.94266,0.78354,0.66709,0.55034,1.02124,0.000412749,0.000412749,0.000412749
40,192.429,0.78005,0.72647,1.13084,0.85914,0.97592,0.94236,0.79465,0.63621,0.50893,1.00458,0.000379743,0.000379743,0.000379743
41,197.477,0.68642,0.65635,1.11569,0.89151,0.88,0.93702,0.80084,0.60819,0.54811,1.01639,0.000346736,0.000346736,0.000346736
42,202.227,0.63255,0.59441,1.07227,0.93624,0.88103,0.94921,0.80894,0.61346,0.50359,1.00954,0.000313729,0.000313729,0.000313729
43,206.96,0.63233,0.561,1.06581,0.88501,0.92361,0.95468,0.82648,0.6414,0.51323,1.00384,0.000280723,0.000280723,0.000280723
44,211.688,0.61815,0.53364,1.05499,0.92077,0.92987,0.95317,0.8259,0.60652,0.52023,0.97553,0.000247716,0.000247716,0.000247716
45,216.391,0.6346,0.55687,1.06436,0.89933,0.9,0.93718,0.81505,0.62109,0.54221,0.99516,0.00021471,0.00021471,0.00021471
46,221.119,0.5946,0.51779,1.04674,0.87352,0.96699,0.95114,0.80905,0.60139,0.47122,0.9727,0.000181703,0.000181703,0.000181703
47,225.836,0.58948,0.5247,1.03464,0.87443,0.98,0.95101,0.8224,0.5577,0.45555,0.94574,0.000148696,0.000148696,0.000148696
48,230.564,0.55653,0.49345,1.01208,0.9133,0.9,0.95122,0.81433,0.57845,0.47485,0.96482,0.00011569,0.00011569,0.00011569
49,235.316,0.56246,0.50118,1.04051,0.91632,0.9,0.94827,0.82879,0.55802,0.46171,0.95115,8.26832e-05,8.26832e-05,8.26832e-05
50,240.073,0.54435,0.4881,1.02681,0.92036,0.9,0.9477,0.82537,0.55079,0.45859,0.94359,4.96766e-05,4.96766e-05,4.96766e-05
